Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
HIST1H4E,0006325 // chromatin organization // non-traceable author statement /// 0006334 // nucleosome assembly // inferred from electronic annotation /// 0045653 // negative regulation of megakaryocyte differentiation // inferred from direct assay /// 0048015 // phosphoinositide-mediated signaling // non-traceable author statement,0000786 // nucleosome // inferred from electronic annotation /// 0000786 // nucleosome // traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // inferred from direct assay /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // traceable author statement /// 0005515 // protein binding // inferred from physical interaction,---
HIST1H2AJ,0006334 // nucleosome assembly // inferred from electronic annotation /// 0006334 // nucleosome assembly // non-traceable author statement,0000786 // nucleosome // inferred from electronic annotation /// 0000786 // nucleosome // non-traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // non-traceable author statement,---
HIST1H2BF,0006334 // nucleosome assembly // inferred from electronic annotation /// 0006334 // nucleosome assembly // non-traceable author statement /// 0042742 // defense response to bacterium // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0000786 // nucleosome // non-traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction,---
C2CD4B,---,0005634 // nucleus // inferred from electronic annotation,---,---
HIST1H2BE,0006334 // nucleosome assembly // inferred from electronic annotation /// 0006334 // nucleosome assembly // non-traceable author statement /// 0042742 // defense response to bacterium // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0000786 // nucleosome // non-traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction,---
HIST1H3A,0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
RAB3D,0006810 // transport // inferred from electronic annotation /// 0006887 // exocytosis // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0017157 // regulation of exocytosis // inferred from electronic annotation /// 0018125 // peptidyl-cysteine methylation // inferred from electronic annotation,0005739 // mitochondrion // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0030133 // transport vesicle // inferred from electronic annotation /// 0042588 // zymogen granule // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // traceable author statement /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation,---
PDZD9,---,---,0005515 // protein binding // inferred from electronic annotation,---
CACNG8,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006816 // calcium ion transport // non-traceable author statement /// 0006816 // calcium ion transport // inferred from electronic annotation,0005886 // plasma membrane // not recorded /// 0005891 // voltage-gated calcium channel complex // non-traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0030666 // endocytic vesicle membrane // not recorded,0005216 // ion channel activity // inferred from electronic annotation /// 0005244 // voltage-gated ion channel activity // inferred from electronic annotation /// 0005245 // voltage-gated calcium channel activity // non-traceable author statement /// 0005262 // calcium channel activity // inferred from electronic annotation,---
MORC2,---,---,0005524 // ATP binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
HIST1H2BN,0006334 // nucleosome assembly // non-traceable author statement /// 0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // non-traceable author statement /// 0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // non-traceable author statement /// 0003677 // DNA binding // inferred from electronic annotation,Circadian_Exercise // GenMAPP
GPR32,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // traceable author statement,0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // traceable author statement /// 0004982 // N-formyl peptide receptor activity // inferred from electronic annotation,---
PCDHGB5,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
ZNF600,0006350 // transcription // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
KRTAP6-2,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
KRTAP20-1,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
HIST1H2BH,0006334 // nucleosome assembly // non-traceable author statement /// 0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // non-traceable author statement /// 0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // non-traceable author statement /// 0003677 // DNA binding // inferred from electronic annotation,---
PCDHGA1,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
GLIPR1L2,---,0005576 // extracellular region // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
SNAPC5,0006350 // transcription // inferred from electronic annotation /// 0006366 // transcription from RNA polymerase II promoter // traceable author statement /// 0006384 // transcription initiation from RNA polymerase III promoter // traceable author statement /// 0045449 // regulation of transcription // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // traceable author statement,0003700 // transcription factor activity // traceable author statement,---
OR8U9,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004984 // olfactory receptor activity // inferred from electronic annotation,---
SSX7,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 0045449 // regulation of transcription // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // inferred from direct assay,0003676 // nucleic acid binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
IFNA10,0006952 // defense response // inferred from electronic annotation /// 0009615 // response to virus // inferred from electronic annotation,0005576 // extracellular region // non-traceable author statement /// 0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from electronic annotation,0005125 // cytokine activity // inferred from electronic annotation /// 0005126 // cytokine receptor binding // inferred from electronic annotation,---
PCDHA13,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
PCDHGB3,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
GSC2,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0006357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0009653 // anatomical structure morphogenesis // traceable author statement /// 0045449 // regulation of transcription // inferred from electronic annotation",0005634 // nucleus // inferred from electronic annotation,0003677 // DNA binding // traceable author statement /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003700 // transcription factor activity // traceable author statement /// 0005515 // protein binding // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation,---
OR9Q2,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004984 // olfactory receptor activity // inferred from electronic annotation,---
KRTAP19-7,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
KRTAP20-2,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
C3orf15,0008295 // spermidine biosynthetic process // inferred from electronic annotation,0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation,0004014 // adenosylmethionine decarboxylase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
HIST2H2AB,0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation,---
PCDHA4,0007155 // cell adhesion // inferred from electronic annotation /// 0007155 // cell adhesion // traceable author statement /// 0007156 // homophilic cell adhesion // inferred from electronic annotation /// 0007399 // nervous system development // traceable author statement,0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
PRB3,0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation,0005576 // extracellular region // non-traceable author statement /// 0005576 // extracellular region // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0051636 // Gram-negative bacterial cell surface binding // non-traceable author statement,---
PCDHGB1,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
ZNF675,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006469 // negative regulation of protein kinase activity // non-traceable author statement /// 0007249 // I-kappaB kinase/NF-kappaB cascade // inferred from direct assay /// 0019221 // cytokine-mediated signaling pathway // inferred from direct assay /// 0030097 // hemopoiesis // non-traceable author statement /// 0030278 // regulation of ossification // traceable author statement /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045453 // bone resorption // traceable author statement /// 0045671 // negative regulation of osteoclast differentiation // inferred from direct assay /// 0045892 // negative regulation of transcription, DNA-dependent // non-traceable author statement /// 0046329 // negative regulation of JNK cascade // inferred from direct assay",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from direct assay,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // non-traceable author statement /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // non-traceable author statement /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016564 // transcription repressor activity // non-traceable author statement /// 0046872 // metal ion binding // inferred from electronic annotation,---
TUBB4Q,0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from electronic annotation /// 0051258 // protein polymerization // inferred from electronic annotation,0005856 // cytoskeleton // traceable author statement /// 0005874 // microtubule // inferred from electronic annotation /// 0043234 // protein complex // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005198 // structural molecule activity // inferred from electronic annotation /// 0005198 // structural molecule activity // traceable author statement /// 0005525 // GTP binding // inferred from electronic annotation,---
KRTAP6-1,---,0005829 // cytosol // inferred from direct assay /// 0005882 // intermediate filament // inferred from electronic annotation,---,---
KRTAP19-2,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
KRTAP19-4,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
SFT2D1,0006810 // transport // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0016192 // vesicle-mediated transport // inferred from electronic annotation,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
LOC650293,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004984 // olfactory receptor activity // inferred from electronic annotation,---
KRTAP21-2,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
HIST1H2AK,0006334 // nucleosome assembly // non-traceable author statement /// 0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // non-traceable author statement /// 0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // non-traceable author statement /// 0003677 // DNA binding // inferred from electronic annotation,---
DEFB128,0006952 // defense response // inferred from electronic annotation /// 0042742 // defense response to bacterium // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation,---,---
IGLL3,---,---,---,---
DNAJC12,---,---,0031072 // heat shock protein binding // inferred from electronic annotation,---
ARHGAP22,0001525 // angiogenesis // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation,0005096 // GTPase activator activity // inferred from electronic annotation,---
POU3F3,"0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0001822 // kidney development // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0007417 // central nervous system development // traceable author statement /// 0010628 // positive regulation of gene expression // inferred from sequence or structural similarity /// 0010628 // positive regulation of gene expression // inferred from electronic annotation /// 0016481 // negative regulation of transcription // inferred from sequence or structural similarity /// 0016481 // negative regulation of transcription // inferred from electronic annotation /// 0021799 // cerebral cortex radially oriented cell migration // inferred from electronic annotation /// 0021869 // forebrain ventricular zone progenitor cell division // inferred from electronic annotation /// 0043066 // negative regulation of apoptosis // inferred from sequence or structural similarity /// 0043066 // negative regulation of apoptosis // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation",0005634 // nucleus // inferred from sequence or structural similarity /// 0005634 // nucleus // inferred from electronic annotation,"0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // traceable author statement /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003705 // RNA polymerase II transcription factor activity, enhancer binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0016563 // transcription activator activity // inferred from sequence or structural similarity /// 0016563 // transcription activator activity // inferred from electronic annotation /// 0016564 // transcription repressor activity // inferred from sequence or structural similarity /// 0016564 // transcription repressor activity // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from sequence or structural similarity /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation",---
PLEKHG2,0006915 // apoptosis // not recorded /// 0008624 // induction of apoptosis by extracellular signals // not recorded /// 0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005829 // cytosol // not recorded,0005085 // guanyl-nucleotide exchange factor activity // not recorded /// 0005085 // guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005089 // Rho guanyl-nucleotide exchange factor activity // inferred from electronic annotation,---
HNRNPCL1,---,0005634 // nucleus // inferred from electronic annotation /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation,---
DEPDC5,---,---,---,---
KRTAP10-12,---,0005882 // intermediate filament // inferred from electronic annotation /// 0045095 // keratin filament // inferred from electronic annotation,---,---
KRTAP10-1,---,0005882 // intermediate filament // inferred from electronic annotation /// 0045095 // keratin filament // inferred from electronic annotation,---,---
KRTAP10-3,---,0005882 // intermediate filament // inferred from electronic annotation /// 0045095 // keratin filament // inferred from electronic annotation,---,---
TDRKH,---,0005739 // mitochondrion // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation,---
OR2A14,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004984 // olfactory receptor activity // inferred from electronic annotation,---
KRTAP19-1,---,0005882 // intermediate filament // inferred from electronic annotation,---,---
CGB1,---,0005576 // extracellular region // inferred from electronic annotation,0005179 // hormone activity // inferred from electronic annotation,Cell_cycle_KEGG // GenMAPP /// G1_to_S_cell_cycle_Reactome // GenMAPP
KRTAP10-9,---,0005882 // intermediate filament // inferred from electronic annotation /// 0045095 // keratin filament // inferred from electronic annotation,---,---
ZNF391,0006350 // transcription // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
RPL38,0006412 // translation // traceable author statement /// 0006412 // translation // inferred from electronic annotation /// 0006414 // translational elongation // not recorded,0005622 // intracellular // inferred from electronic annotation /// 0005829 // cytosol // not recorded /// 0005840 // ribosome // inferred from electronic annotation /// 0022625 // cytosolic large ribosomal subunit // traceable author statement /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation,0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // traceable author statement /// 0005515 // protein binding // inferred from physical interaction,Ribosomal_Proteins // GenMAPP /// Ribosomal_Proteins // GenMAPP
PRB1,---,0005576 // extracellular region // non-traceable author statement /// 0005576 // extracellular region // inferred from electronic annotation,---,---
H3F3C,0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation,---
H3F3B,0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0001740 // Barr body // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation,---
C7orf46,---,---,---,---
UNCX,"0001502 // cartilage condensation // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007389 // pattern specification process // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0021516 // dorsal spinal cord development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045595 // regulation of cell differentiation // inferred from electronic annotation",0005634 // nucleus // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation,---
ZNF835,0006350 // transcription // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
IMPACT,0006417 // regulation of translation // inferred from electronic annotation,---,---,---
TMEM211,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
PYGO1,0001822 // kidney development // inferred from electronic annotation /// 0009791 // post-embryonic development // inferred from electronic annotation /// 0016055 // Wnt receptor signaling pathway // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
DUX4,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation",0005634 // nucleus // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation,---
TCEAL1,0000122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0006350 // transcription // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // traceable author statement,0003700 // transcription factor activity // non-traceable author statement /// 0003702 // RNA polymerase II transcription factor activity // traceable author statement,---
ATP13A5,0006754 // ATP biosynthetic process // inferred from electronic annotation /// 0006812 // cation transport // inferred from electronic annotation,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,"0000166 // nucleotide binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0015662 // ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016820 // hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",---
