,0
256,CYTH4
257,CLEC7A
258,SAMD9
259,FLI1
260,C1orf59
261,PREX1
262,FIG4
263,C14orf106
264,FAM105A
265,DAPP1
266,TRIM22
267,LYZ
268,PARP8
269,CLIC2
270,EMB
271,MYOF
272,NCF2
273,KLRB1
274,APOL3
275,PIK3R5
276,KLRD1
277,KLRG1
278,PECAM1
279,RAB8B
280,ENTPD1
281,GAB3
282,RARRES3
283,MYO1F
284,ACAP1
285,ZEB2
286,STK10
287,TRAT1
288,SIGLEC1
289,ANKRD22
290,SYK
291,GIT2
292,SH3BGRL
293,DOK2
294,CLEC4A
295,SLA
296,KCTD12
297,CELF2
298,ICOS
299,VIM
300,CCL19
301,CLIC1
302,P2RY8
303,LGALS3
304,UBE2L6
305,RNASE6
306,STAT1
307,HMGN4
308,C1QC
309,GCET2
310,CYLD
311,FAR1
312,P2RY10
313,TRIM21
314,NSMAF
315,LSP1
316,NCKAP1L
317,FMNL2
318,LPCAT1
319,SCPEP1
320,FAM113B
321,TAP2
322,TRPV2
323,KLRC1
324,SELPLG
325,SKAP2
326,BTLA
327,EAF2
328,PSME2
329,NCF4
330,IFITM1
331,CD47
332,C1QA
333,EPB41L3
334,P2RX5
335,DCK
336,SNX6
337,MS4A1
338,ZAP70
339,FAM78A
340,IFNG
341,KLHL6
342,STAT5A
343,CTSC
344,RFX5
345,MNDA
346,ITGA4
347,PLA2G4A
348,GLIPR1
349,TRAFD1
350,DCLRE1C
351,OBFC2A
352,LY86
353,ZNF101
354,GALNT7
355,MSR1
356,SH3BGRL3
357,PRKCQ
358,SIT1
359,TRIM38
360,FPR3
361,SAMHD1
362,ASPHD2
363,PLEKHA2
364,CIITA
365,PDE7A
366,IL18
367,LEPROTL1
368,RCC2
369,GZMH
370,RAB31
371,LAIR1
372,SFT2D1
373,FCGR1B
374,GLIPR2
375,C1orf54
376,IL18BP
377,LRRC33
378,GPNMB
379,EPSTI1
380,HPSE
381,TMEM51
382,TBX21
383,GNPTAB
384,PRKCD
385,ADAP2
386,NFE2L3
387,GPSM3
388,ICAM2
389,PAG1
390,FOLR2
391,CCR1
392,PPP1R16B
393,ATP1B3
394,IRF9
395,CERKL
396,CCR2
397,P2RY13
398,MYBL1
399,CCL18
